Clean_Comment,Clean_Date,distilbert_pos_score,distilbert_neg_score
the hype around hydrogen is mostly because fossil fuels see it as a way to keep drilling relevant we dont need gas renewable energy technology can meet all our needs today its time to roll our renewables amp transition off fossil fuels,2024-06-16,0.02531420439,0.9746857882
petersweden7 yes but it has to be made safely and thoughtfulness cant be run by the same jokers steering the renewable energy crap,2024-06-16,0.06679496169,0.9332050085
🔋 battery storage technology is a gamechanger for renewable energy it allows for the storage of excess energy generated during peak times ensuring a steady supply even when the sun isnt shining or the wind isnt blowing energystorage renewables,2024-06-16,0.9878146648,0.0121853305
🇧🇩 bangladesh has been elected vicechairman of the 27th council of the international renewable energy agency irena this is a huge step forward ensuring a just transition to renewable energy building sustainable and equitable growth for all 🌱🔋,2024-06-16,0.9996061921,0.0003937793372
pm abiy championed green development positioning ethiopia as a continental leader in renewable energy abiyahmed fastgrowingethiopia ethiopiaprevails usembassyaddis unhumanrights unocha un undp unhcrethiopia tiborpnagyjr mikehammerusa httpstco7tiqhlklze,2024-06-16,0.02034698054,0.9796530008
hdkumaraswamy joshipralhad ನಿಮ್ಮ ಸಹಾಯ ವನ್ನು ಬಯಸುತ್ತಾ ಇದ್ದೇವೆ ದಯವಿಟ್ಟು ನಿಮ್ಮ ಕೈ ಮುಗಿದು ಕೇಳುತ್ತೇನೆ ನಮ್ಮ ಕಡೆಗೂ ಗಮನ ಕೊಡಿ ನಾವು ಮನುಷ್ಯ ರು ನವೀಕರಿಸ ಬಹುದಾದ ಇಂಧನ automobile renewable energy solar panels industry ಜನರು ಕಾಯುತ್ತಾ ಇದ್ದರೆ hdkumaraswamy ನೀವು,2024-06-16,0.761105597,0.2388944328
franb theausinstitute grogsgamut grogs you do realise that the current incentives to take up renewables and the incentives to make australia a renewable energy super power also have the exact same effect so using your logic they should also be cut,2024-06-16,0.001062063966,0.9989379048
paranoidream nasjaq renewable energy that is a complete net zeo solution has been discovered several times many of those people are no longer here with us try hydrogenhave fun,2024-06-16,0.009489864111,0.9905101657
windel energy recurrent get planning permission for 99mw welsh solar farm httpstcoazsc8n953f photovoltaic solarsolutions httpstcodzypnfdpk1,2024-06-16,0.02899037115,0.9710095525
the new energy project generated 6038 million mwh of electricity replacing 7543 tons of standard coal and reducing carbon dioxide emissions by 48700 tons httpstcogqkggk7rbx cleanenergy energy renewableenergy renewables hydroelectricity windpower photovoltaic httpstcopuccof17ku,2024-06-16,0.0523888804,0.9476110935
of course renewable energy is a grift,2024-06-16,0.1531115621,0.8468884826
dsbatten why would india need bitcoin mining to meet renewable energy targets to use the profits from mining btc to reinvest into green energy,2024-06-16,0.03559009731,0.9644098878
presiden ri bapak joko widodo telah melakukan peletakan batu pertama pada pembangunan pln hub di ikn nusantara pln mengembangkan pln hub yang akan menjadi kawasan integrated renewable energy zone plnhubikn httpstcovagvbpb7xg,2024-06-16,0.0512303561,0.9487695694
michaelspring17 attacking renewable energy climate change is scam you soy boy 😂,2024-06-16,0.003073954955,0.9969260097
richiemerzian the greatest lie ever told is renewable energy will lower the price of electricity and you’re saying risks smart jobs and business that’s why businesses are going into bankruptcy and heavy industry is moving offshore we all know what a green job is centrelink,2024-06-16,0.8574880362,0.1425119936
